model,W,point_label,eps_nd,eps_d,mu_critical_input,rho_exact_strip,contacts_per_site_exact,directional_bonds_per_site_exact,s_total_exact_per_site,s_occupancy_conditional_per_site,s_internal_conditional_per_site,s_internal_exact_per_particle,s_internal_avgE_per_particle,s_internal_isolatedZ_per_particle,abs_error_avgE,abs_error_isolatedZ,closer_closure,critical_input_status,source
L-shaped,3,exact lattice-gas anchor,1.7627471740390859,0.0,4.9117887091980625,0.49999999999999734,0.8535533905932682,0.21338834764831727,1.0310946097459344,0.33794742918599247,0.6931471805599426,1.3862943611198926,0.0,1.3862943611198906,1.3862943611198926,1.9984014443252818e-15,isolated-Z,exact anchor,exact 2D lattice-gas anchor
L-shaped,4,exact lattice-gas anchor,1.7627471740390859,0.0,4.9117887091980625,0.4999999999999919,0.8535533905932577,0.21338834764831452,1.016706081443683,0.3235589008837495,0.6931471805599364,1.3862943611198952,0.0,1.3862943611198906,1.3862943611198952,4.6629367034256575e-15,isolated-Z,exact anchor,exact 2D lattice-gas anchor
L-shaped,3,weak directional,1.5134332013184795,1.02,4.9930143790043555,0.4742654497999223,0.80026699663818,0.25828901696426504,0.969701517169319,0.3387651280101482,0.6309363891591692,1.330344408232439,0.0,1.3862943611198906,1.330344408232439,0.05594995288745164,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,4,weak directional,1.5134332013184795,1.02,4.9930143790043555,0.49947624682403075,0.8504443060149917,0.2807189878098985,0.9847323311967577,0.32505097118444404,0.659681360012315,1.320746210068976,0.0,1.3862943611198906,1.320746210068976,0.0655481510509146,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,3,intermediate directional,1.3530862528281224,1.8,5.189030200916576,0.45482636273074273,0.7586925092780392,0.28224841442134746,0.8971274181880489,0.3376527489690291,0.5594746692190203,1.230084082769471,0.0,1.3862943611198906,1.230084082769471,0.15621027835041956,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,4,intermediate directional,1.3530862528281224,1.8,5.189030200916576,0.6263580242481318,1.1064250896001395,0.4256843861812288,1.057257564828273,0.3150053624670343,0.7422522023612377,1.185028647556999,0.0,1.3862943611198906,1.185028647556999,0.20126571356289147,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,3,upper FSS-checked directional,1.2495060270045908,2.6,5.612505898686723,0.25700700491149936,0.38865773605338605,0.17039552690886103,0.5593816597970801,0.2786979451406885,0.2806837146563913,1.092124764276542,0.0,1.3862943611198906,1.092124764276542,0.29416959684334865,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,4,upper FSS-checked directional,1.2495060270045908,2.6,5.612505898686723,0.5783989492163452,1.0223588803694597,0.4461520051657337,0.8641616426453989,0.28720565554434396,0.5769559871010566,0.9975052476889116,0.0,1.3862943611198906,0.9975052476889116,0.388789113430979,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,1.227554814851591,2.8,5.696611066056329,0.32229075764749643,0.5072219242398579,0.22324241340189263,0.6389375558473646,0.29849556432064533,0.3404419915267198,1.0563194365600648,0.0,1.3862943611198906,1.0563194365600648,0.3299749245598258,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,1.227554814851591,2.8,5.696611066056329,0.7845324204737476,1.4476449592882539,0.6323340144669546,1.0006069037460632,0.25859953744470493,0.7420073663013607,0.9457956700543901,0.0,1.3862943611198906,0.9457956700543901,0.44049869106550044,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,1.181526435952345,3.2,5.945036771232934,0.23364398328918357,0.3459907143519169,0.1664177939802645,0.48796947387552675,0.26084796690307804,0.2271215069724489,0.9720836966357411,0.0,1.3862943611198906,0.9720836966357411,0.41421066448414945,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,1.181526435952345,3.2,5.945036771232934,0.7910785675839366,1.4658892715751828,0.6659792200679127,0.9159318865286661,0.24518323241914683,0.6707486541095199,0.8478913240666842,0.0,1.3862943611198906,0.8478913240666842,0.5384030370532064,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,1.088309212923319,3.66,6.182178015338771,0.16295519272290837,0.2186335957155786,0.11977366800523224,0.36437857179006833,0.22447366191862253,0.1399049098714458,0.8585483379430711,0.0,1.3862943611198906,0.8585483379430711,0.5277460231768195,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,1.088309212923319,3.66,6.182178015338771,0.7071613407041567,1.2858367983347496,0.6151406590171264,0.7862501545919622,0.26084631746614517,0.525403837125818,0.7429759050496828,0.0,1.3862943611198906,0.7429759050496828,0.6433184560702078,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,1.103771940125422,4.18,6.665537121424699,0.11292089174429827,0.14456916893249336,0.08709008651528027,0.25257271420870725,0.16904888726984166,0.08352382693886533,0.7396667317151496,0.0,1.3862943611198906,0.7396667317151496,0.646627629404741,isolated-Z,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,1.103771940125422,4.18,6.665537121424699,0.8174419562397217,1.534905585672055,0.7416640787768769,0.7257276457692745,0.20520141045509468,0.5205262353141801,0.6367745518087052,0.0,1.3862943611198906,0.6367745518087052,0.7495198093111853,avgE,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,0.969690419981299,5.56,7.687096922196666,0.08701646858216866,0.10050366898319145,0.07687945822304408,0.1633912594557294,0.12903596704949813,0.03435529240623061,0.3948136825822723,0.0,1.3862943611198906,0.3948136825822723,0.9914806785376182,avgE,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,0.969690419981299,5.56,7.687096922196666,0.8402422332324815,1.5852403319284072,0.8031798625691584,0.5405916545867706,0.1785088998332643,0.3620827547535101,0.43092663095563255,0.0,1.3862943611198906,0.43092663095563255,0.955367730164258,avgE,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,3,high directional,0.907398069529842,5.8,7.715814105273746,0.1566588458709276,0.19067716177053362,0.14123432257767757,0.24922282056283698,0.19172144317976939,0.057501377383065676,0.3670483914482652,0.0,1.3862943611198906,0.3670483914482652,1.0192459696716254,avgE,logged MC critical-line point,results_logs/all_trace_coexist_l.out
L-shaped,4,high directional,0.907398069529842,5.8,7.715814105273746,0.9164936819279729,1.7531134288810515,0.8817590142213301,0.5246724661759856,0.15051167030807266,0.3741607958679096,0.408252455249675,0.0,1.3862943611198906,0.408252455249675,0.9780419058702156,avgE,logged MC critical-line point,results_logs/all_trace_coexist_l.out
